   pgc   |        name        |      j2000      |        ra        |     dec      | modulus |  error   |    method     |   Dist    |  Vh  |   VLG    
   26142 | UGC04879           | 091602.2+525024 |       139.009155 |    52.839999 |   25.68 |     0.03 | TRGB          |   1.36773 |  -25 |  32.6624
 6740698 | KSP-DW24           | 091608.5-234317 |     139.03541667 | -23.72138889 |   29.96 |          | mem           |   9.81748 |      |         
 6740702 | KSP-DW28           | 091743.4-232937 |    139.430833335 | -23.49361111 |   29.96 |          | mem           |   9.81748 |      |         
   26341 | NGC2787            | 091918.6+691212 |        139.82748 |    69.203333 |   29.37 |     0.36 | SBF           |    7.4817 |  700 |  842.487
   86669 | LSBC D565-06       | 091929.4+213612 |        139.87248 |    21.603333 |   29.84 |     0.11 | TRGB          |   9.28966 |  498 |  386.139
 6740704 | KSP-DW30           | 092013.2-235602 |          140.055 | -23.93388889 |   29.96 |          | mem           |   9.81748 |      |         
 4571720 | AGC198508          | 092257.0+245648 |         140.7375 |    24.946667 |   29.96 |    0.075 | TRGB          |   9.81748 |  519 |  424.469
   26705 | UGC04998           | 092512.1+682259 |     141.30041667 |    68.383054 |   29.58 |     0.21 | TRGB          |   8.24138 |  632 |  770.277
   26761 | NGC2915            | 092611.5-763735 |       141.547905 |   -76.626388 |   28.16 |     0.03 | TRGB          |   4.28548 |  467 |  191.196
 5056943 | [CKT2009]d0926+70  | 092627.9+703024 |       141.616245 |    70.506666 |   27.66 |     0.14 | TRGB          |   3.40408 |      |         
   26972 | KDG056             | 093012.9+195930 |       142.553745 |    19.991666 |  29.747 |          | mem           |       8.9 |  561 |  440.799
 5057223 | NGC2903-HI-1       | 093039.9+214325 |       142.666245 |     21.72361 |  29.747 |          | mem           |       8.9 |  582 |  470.267
   27077 | NGC2903            | 093209.6+213002 |       143.039985 |    21.500555 |   29.74 |          | BS            |   8.87156 |  556 |  443.065
         | dw0932+1952        | 093223.8+195230 |     143.09916666 |       19.875 |  29.747 |          | mem           |    8.9002 |      |         
   27104 | ESO373-007         | 093245.4-331444 |        143.18916 |   -33.245555 | 29.5954 |          | TF            |       8.3 |  862 |  555.896
   27115 | UGC05086           | 093248.9+212754 |        143.20374 |       21.465 |  29.698 |     0.21 | SBF           |   8.70162 |  491 |  377.859
         | LSBC D565-09       | 093314.1+203053 |    143.308750005 |  20.51472222 |  29.747 |          | mem           |    8.9002 |      |         
 5056931 | [CKT2009]d0934+70  | 093403.7+701257 |       143.515395 |    70.215833 |    27.4 |     0.38 | TRGB          |   3.01995 |      |         
 4713564 | LeoT               | 093453.4+170305 |       143.722485 |    17.051388 |    23.1 |      0.1 | TRGB          |  0.416869 |   39 | -96.9691
 4078844 | LV J0935-1348      | 093521.6-134852 |       143.839995 |   -13.814444 |  29.785 |          | TF            |   9.05733 |  796 |  533.164
 6775392 | Antlia 2           | 093532.8-364602 |        143.88666 |   -36.767222 |   20.56 |     0.11 | RR            |   0.12942 |  291 | -19.4872
         | dw0936+2135        | 093621.4+213556 |     144.08916666 |  21.59888889 |  29.747 |          | mem           |    8.9002 |      |         
 5056932 | [CKT2009]d0939+71  | 093915.9+711842 |        144.81624 |    71.311666 |   27.81 |     0.27 | TRGB          |   3.64754 |      |         
 4078650 | LV J0939-2507      | 093935.0-250735 |        144.89583 |   -25.126388 |    29.6 |          | NAM           |   8.31764 |  741 |  448.941
   27605 | HolmI              | 094032.3+711111 |    145.134583335 |    71.186388 |   28.02 |     0.03 | TRGB          |   4.01791 |  139 |  291.195
   27785 | UGC05186           | 094259.8+331552 |       145.749165 |    33.264444 |  29.866 |          | TF            |   9.40156 |  546 |   495.52
  807172 | LV J0944-2254      | 094420.1-225458 |        146.08374 |   -22.916111 |   29.57 |          | NAM           |   8.20351 |  729 |  441.521
 5056933 | [CKT2009]d0944+69  | 094422.5+691240 |       146.093745 |    69.211111 |   27.92 |     0.27 | TRGB          |   3.83707 |      |         
 5056944 | [CKT2009]d0944+71  | 094434.4+712857 |        146.14332 |    71.482499 |    27.7 |     0.06 | TRGB          |   3.46737 |  -38 |  115.252
   27910 | IC0559             | 094443.9+093655 |       146.182905 |     9.615277 | 29.8656 |          | TF            |       9.4 |  541 |  369.573
 3097827 | F8D1               | 094447.1+672619 |    146.196250005 |  67.43861111 |   27.87 |     0.05 | TRGB          |   3.74973 | -125 |   8.3829
 3097828 | FM1                | 094510.0+684554 |       146.291655 |       68.765 |   27.89 |     0.05 | TRGB          |   3.78442 |      |         
 2791980 | RKK1610            | 094524.8-480829 |        146.35332 |   -48.141388 | 29.8541 |          | BTF           |      9.35 |  882 |  566.039
   28120 | NGC2976            | 094715.6+675449 |        146.81499 |    67.913611 |   27.82 |     0.05 | TRGB          |   3.66438 |    6 |  141.783
 5098252 | Antlia B           | 094856.1-255924 |       147.233745 |       -25.99 |   25.56 |     0.16 | TRGB          |    1.2942 |  376 |  82.1639
  166101 | KK77               | 095010.0+673024 |        147.54165 |    67.506666 |    27.9 |     0.02 | TRGB          |   3.80189 |      |         
   28529 | BK3N               | 095348.5+685809 |       148.452075 |    68.969166 |    28.1 |     0.13 | TRGB          |   4.16869 |  -40 |  101.089
 1034827 | KKSG15             | 095510.5-061612 |        148.79373 |    -6.269999 | 29.9339 |          | mem           |       9.7 |  791 |  553.821
 5056934 | [CKT2009]d0955+70  | 095513.6+702429 |       148.806645 |    70.408055 |   27.69 |     0.33 | TRGB          |   3.45144 |      |         
   28630 | MESSIER081         | 095533.5+690360 |       148.889565 |    69.066666 |   27.84 |     0.09 | TRGB          |   3.69828 |  -38 |  103.597
 6657020 | JKB83              | 095549.6+691957 |        148.95666 |      69.3325 |   27.84 |          | mem           |   3.69828 |   56 |  198.416
   28655 | MESSIER082         | 095553.9+694057 |        148.97457 |    69.682499 |   27.79 |     0.02 | TRGB          |    3.6141 |  183 |  327.621
 4078671 | LV J0956-0929      | 095637.6-092911 |       149.156655 |    -9.486388 |   29.86 |     0.11 | TRGB          |   9.37562 |  627 |  378.456
   28731 | KDG061             | 095702.7+683530 |        149.26125 |    68.591666 |   27.82 |     0.02 | TRGB          |   3.66438 |  221 |  360.294
 6726340 | KDG61em            | 095707.5+683554 |       149.281245 |    68.598333 |  27.841 |          | mem           |   3.69998 |  116 |  255.326
  154449 | PGC154449          | 095708.9-091548 |     149.28708333 | -9.263333333 |  29.934 |          | mem           |   9.70063 |  543 |  294.978
 5057029 | ClumpI             | 095721.2+684255 |        149.33832 |    68.715277 | 27.7815 |          | mem           |       3.6 | -165 | -25.0904
   28759 | A0952+69           | 095729.0+691620 |       149.370825 |    69.272221 |   27.97 |     0.17 | TRGB          |   3.92645 |   99 |  241.684
   28757 | HolmIX             | 095732.4+690235 |          149.385 |    69.043055 |   27.93 |     0.07 | TRGB          |   3.85478 |   50 |  191.545
   28826 | [CKT2009]d0958+66  | 095848.5+665059 |        149.70207 |    66.849721 |   27.91 |     0.04 | TRGB          |   3.81944 |   90 |  220.663
   28868 | LeoA               | 095926.4+304447 |        149.85999 |    30.746388 |   24.35 |     0.31 | TRGB          |   0.74131 |   24 | -39.7628
 5056936 | [CKT2009]d0959+68  | 095933.1+683925 |       149.887905 |    68.656944 |   28.15 |     0.15 | TRGB          |   4.26579 | -186 | -46.3236
 3097699 | KKSG16             | 095947.5-092036 |        149.94792 |    -9.343333 | 29.9339 |          | mem           |       9.7 |      |         
   28913 | SexB               | 100000.1+051956 |       150.000405 |     5.332221 |   25.78 |     0.03 | TRGB          |   1.43219 |  300 |  110.399
         | dw1000-0741        | 100001.0-074117 |      150.0041667 | -7.688055556 |  29.929 |          | mem           |   9.67832 |      |         
         | dw1000-0821        | 100010.6-082125 |      150.0441666 | -8.356944444 |  29.929 |          | mem           |   9.67832 |      |         
 2807133 | KKH57              | 100016.0+631106 |        150.06666 |    63.184999 |   27.83 |     0.11 | TRGB          |   3.68129 |      |         
 5057030 | ClumpIII           | 100040.4+683937 |        150.16833 |    68.660277 | 27.7815 |          | mem           |       3.6 | -121 |  18.7239
   29038 | MCG -01-26-009     | 100133.6-063130 |       150.389985 |    -6.524999 | 29.9339 |          | mem           |       9.7 |  748 |  510.231
   29033 | KKSG17             | 100138.4-081456 |        150.40998 |    -8.248888 |    29.2 |          | TF            |   6.91831 |  446 |  202.707
   29086 | UGCA193            | 100236.2-060043 |        150.65082 |    -6.011944 | 29.9339 |          | mem           |       9.7 |  663 |  427.279
   29128 | NGC3109            | 100307.2-260936 |           150.78 |       -26.16 |   25.63 |     0.09 | TRGB          |    1.3366 |  403 |  109.573
   29146 | NGC3077            | 100321.0+684402 |       150.837495 |    68.733888 |   27.93 |     0.07 | TRGB          |   3.85478 |   19 |  159.168
   29167 | GARLAND            | 100342.0+684136 |        150.92499 |    68.693333 |   27.91 |     0.24 | TRGB          |   3.81944 |   43 |  182.976
   29194 | Antlia             | 100404.0-271955 |       151.016655 |   -27.331943 |   25.68 |      0.1 | TRGB          |   1.36773 |  362 |  66.4461
   29231 | BK5N               | 100440.3+681520 |         151.1679 |    68.255555 |   27.84 |     0.09 | TRGB          |   3.69828 |      |         
   29257 | KDG063             | 100507.3+663318 |         151.2804 |       66.555 |   27.81 |     0.01 | TRGB          |   3.64754 | -129 | 0.212189
   29265 | NGC3115            | 100514.0-074307 |       151.308315 |     -7.71861 |   29.93 |     0.09 | SBF           |   9.68278 |  681 |  439.386
   29284 | UGC05423           | 100530.6+702152 |       151.377495 |    70.364444 |   29.74 |     0.03 | TRGB          |   8.87156 |  348 |  495.718
 6728392 | d1005+68           | 100531.8+681420 |       151.382505 |    68.238889 |  27.999 |     0.21 | TRGB          |   3.97924 |      |         
   29299 | KDG065             | 100534.4-074457 |        151.39332 |    -7.749166 | 29.9339 |          | mem           |       9.7 |  721 |  479.311
   29300 | KKSG18             | 100541.6-075853 |        151.42332 |    -7.981388 | 29.9339 |          | mem           |       9.7 |  698 |  455.505
         | dw1006-0730        | 100612.7-073000 |      151.5529167 |         -7.5 |  29.929 |          | mem           |   9.67832 |      |         
         | dw1006-0732        | 100626.6-073256 |     151.61083335 | -7.548888889 |  29.929 |          | mem           |   9.67832 |      |         
         | dw1006-0730-n2     | 100633.6-073036 |     151.63999995 |        -7.51 |  29.932 |          | mem           |    9.6917 |      |         
 5056937 | [CKT2009]d1006+67  | 100646.2+671204 |       151.692495 |    67.201111 |   27.79 |     0.13 | TRGB          |    3.6141 |      |         
         | d1006+69           | 100655.5+695417 |     151.73125005 |  69.90472222 |   28.18 |      0.1 | TRGB          |   4.32514 |      |         
   29388 | KDG064             | 100701.9+674939 |       151.757895 |    67.827499 |   27.87 |     0.02 | TRGB          |   3.74973 |  -15 |  120.816
 4713559 | Segue 1            | 100703.2+160425 |        151.76331 |     16.07361 |    16.8 |      0.2 | CMD           | 0.0229087 |  206 |  67.1936
         | dw1007-0715        | 100720.2-071547 |      151.8341667 | -7.263055556 |  29.929 |          | mem           |   9.67832 |      |         
 4689195 | IKN                | 100805.9+682357 |       152.024565 |    68.399166 |   27.87 |     0.02 | TRGB          |   3.74973 | -140 | -1.31224
   29488 | LeoI               | 100826.9+121829 |       152.112075 |    12.308055 |    22.1 |     0.08 | TRGB          |  0.263027 |  283 |  125.248
         | d1009+68           | 100914.3+684525 |      152.3095833 |  68.75694444 |   27.86 |     0.29 | TRGB          |    3.7325 |      |         
 4226344 | AGC208477          | 100919.8+275644 |         152.3325 |    27.945556 |   29.94 |          | NAM           |   9.72747 |  583 |  505.122
 1099440 | PGC1099440         | 100932.5-021058 |      152.3854167 | -2.182777778 |   29.92 |          | NAM           |   9.63829 |  740 |  519.496
 5056946 | [CKT2009]d1009+70  | 100934.9+703255 |        152.39541 |     70.54861 | 29.7712 |          | TRGB          |         9 |      |         
   29653 | SexA               | 101100.8-044134 |       152.753325 |    -4.692777 |    25.8 |     0.08 | TRGB          |   1.44544 |  324 |   94.032
   29735 | UGC05497           | 101248.4+640627 |        153.20166 |      64.1075 |   27.86 |     0.06 | TRGB          |    3.7325 |  150 |  267.374
   88608 | SexDSph            | 101303.0-013652 |       153.262485 |    -1.614444 | 19.7712 |          | TRGB          |      0.09 |  227 |  9.16053
 5056938 | [CKT2009]d1014+68  | 101455.8+684527 |       153.732495 |      68.7575 |   27.92 |     0.19 | TRGB          |   3.83707 |      |         
 5056947 | [CKT2009]d1015+69  | 101506.9+690215 |        153.77874 |    69.037499 |   28.05 |     0.39 | TRGB          |    4.0738 |      |         
   30187 | UGC05571           | 101942.4+520356 |      154.9266666 |  52.06555556 |   29.58 |          | BTF           |   8.24138 |  662 |  716.477
 4689208 | HIJASS J1021+6842  | 102100.2+684160 |       155.250825 |    68.699999 |  27.841 |          | mem           |       3.7 |   46 |  186.798
 4689216 | HS117              | 102125.2+710658 |          155.355 |    71.116111 |   27.99 |     0.04 | TRGB          |   3.96278 |  -37 |   115.52
 1178576 | LV J1021+0054      | 102138.9+005400 |      155.4119166 |  0.900111111 |   29.67 |          | NAM           |   8.59014 |  701 |  494.578
 5065058 | LeoP               | 102145.1+180517 |      155.4379167 |  18.08805556 |   26.19 |     0.33 | TRGB          |   1.72982 |  262 |  134.656
 1798058 | AGC731448          | 102345.0+270639 |       155.937495 |    27.110833 |      30 |     0.08 | TRGB          |        10 |  540 |  459.506
 3097700 | KKSG19             | 102428.3-122557 |       156.117915 |   -12.432499 | 28.9654 |          | TF            |   6.20984 |  628 |  372.902
   30664 | DDO078             | 102627.9+673924 |       156.616245 |    67.656666 |   27.71 |     0.03 | TRGB          |   3.48337 |   55 |  191.022
   30818 | UGC05672           | 102820.9+223417 |       157.087065 |    22.571388 |   29.85 |          | TF            |   9.33254 |  531 |  427.533
   30819 | IC2574             | 102822.4+682458 |        157.09332 |    68.416111 |   27.97 |     0.02 | TRGB          |   3.92645 |   43 |  182.861
 5056941 | [CKT2009]d1028+70  | 102839.7+701401 |       157.165395 |     70.23361 |   27.92 |     0.06 | TRGB          |   3.83707 | -114 |  34.7086
 5059698 | AGC749315          | 102906.4+265438 |       157.276665 |    26.910556 |   29.88 |          | NAM           |   9.46237 |  645 |  564.314
   30997 | DDO082             | 103035.0+703710 |        157.64583 |    70.619443 |   27.97 |     0.01 | TRGB          |   3.92645 |   56 |  206.693
 3466489 | LV J1030+0607      | 103044.3+060738 |       157.684575 |     6.127221 | 29.4605 |          | TF            |       7.8 |  640 |  457.597
   31122 | NGC3274            | 103217.1+274007 |       158.071245 |     27.66861 |   29.51 |      0.4 | BS            |   7.97995 |  541 |   464.88
   31286 | BK6N               | 103431.9+660042 |       158.632905 |    66.011666 |    27.6 |     0.14 | TRGB          |   3.31131 |      |         
 4713554 | UMa I              | 103448.8+515606 |      158.7033333 |       51.935 |      20 |      0.1 | TRGB          |       0.1 |  -55 |  0.19315
 2277751 | PGC2277751         | 103512.1+461412 |      158.8004166 |  46.23666667 |   29.94 |          | NAM           |   9.72747 |  504 |   529.25
 5056942 | [CKT2009]d1041+70  | 104116.8+700903 |       160.319985 |    70.150833 |   27.84 |     0.15 | TRGB          |   3.69828 |      |         
   31923 | DDO084             | 104241.9+342656 |        160.67457 |    34.448888 |   29.99 |          | NAM           |   9.95405 |  630 |  592.129
 5276793 | N3344dw1           | 104244.0+250130 |      160.6833333 |       25.025 | 29.9606 |          | mem           |   9.82019 |      |         
   31961 | ESO376-016         | 104327.1-370233 |       160.862895 |   -37.042499 |    29.2 |     0.09 | TRGB          |   6.91831 |  670 |  365.863
   31968 | NGC3344            | 104330.2+245525 |        160.87581 |     24.92361 |   29.96 |     0.27 | TRGB          |   9.81748 |  588 |  499.755
   32007 | NGC3351            | 104357.7+114213 |       160.990395 |    11.703611 |   29.99 |     0.03 | TRGB          |   9.95405 |  777 |  623.055
   83329 | LeG14              | 104614.4+125736 |        161.55999 |        12.96 |      30 |     0.09 | TRGB          |        10 |      |         
   83333 | KK93               | 104624.8+140130 |        161.60331 |    14.024999 |   29.89 |     0.07 | TRGB          |   9.50605 |      |         
   32226 | DDO088             | 104722.3+140413 |       161.842905 |    14.070277 |   29.44 |          | TRGB          |   7.72681 |  573 |  431.383
   32250 | ESO318-013         | 104741.9-385115 |       161.924565 |   -38.854166 |    29.2 |     0.03 | TRGB          |   6.91831 |  718 |    412.5
   32292 | NGC3384            | 104816.9+123745 |        162.07041 |    12.629166 |   29.87 |     0.02 | TRGB          |    9.4189 |  704 |  555.526
 4713556 | Willman1           | 104921.0+510260 |       162.337485 |        51.05 |    17.9 |      0.4 | CMD           | 0.0380189 |  -12 |  40.6785
   32405 | DDO087             | 104936.5+653150 |        162.40206 |    65.530554 |   29.65 |          | BTF           |   8.51138 |  340 |  467.639
   32413 | MRK1265            | 104940.4+225019 |       162.418335 |    22.838611 |   29.45 |          | NAM           |   7.76247 |  632 |  534.458
  166107 | KK96               | 105027.1+122139 |         162.6129 |    12.360833 |      30 |     0.04 | TRGB          |        10 |      |         
 2807139 | KKH65              | 105159.1+282145 |        162.99624 |      28.3625 |      30 |          | txt           |        10 |      |         
 4095244 | LV J1052+3628      | 105205.5+362836 |      163.0229166 |     36.47675 |   29.82 |          | mem           |   9.20449 |  476 |  451.067
   32617 | UGC05983           | 105217.5+363536 |       163.072905 |    36.593333 | 29.8189 |          | mem           |       9.2 |  765 |  740.814
   32643 | NGC3432            | 105231.1+363708 |        163.12956 |    36.618888 | 29.8189 |          | TF            |       9.2 |  611 |   586.93
 4095293 | LV J1052+3639      | 105240.8+363954 |     163.16987505 |  36.66488889 |   29.82 |          | mem           |   9.20449 |  511 |  487.213
   32667 | KDG073             | 105257.1+693245 |      163.2379167 |    69.545833 |   27.96 |     0.14 | TRGB          |   3.90841 |  116 |  263.212
 4095638 | HS1053+3624        | 105640.4+360828 |     164.16850005 |  36.14102778 |   29.82 |          | mem           |   9.20449 |  567 |  541.339
  490287 | ESO215-009         | 105730.2-481044 |        164.37582 |   -48.178888 |   28.69 |     0.02 | TRGB          |   5.47016 |  598 |  289.775
   32954 | VV747              | 105747.0+361539 |       164.445825 |    36.260833 | 29.8189 |          | mem           |       9.2 |  619 |  594.321
         | SMDG1103517+284120 | 110351.7+284120 |     165.96541665 |  28.68888889 |   29.65 |          | BTF           |   8.51138 |  668 |   604.67
   33486 | MRK0036            | 110458.5+290822 |        166.24374 |    29.139444 |   29.69 |          | NAM           |   8.66962 |  646 |  585.346
   34030 | NGC3556            | 111131.0+554026 |        167.87916 |    55.673888 | 29.9782 |          | TF            |       9.9 |  696 |   777.33
   34170 | DDO092             | 111326.1+533542 |        168.35874 |    53.594999 |   29.98 |          | BTF           |   9.90832 |  928 |  999.012
   34176 | LeoII              | 111329.2+220917 |       168.371655 |    22.154722 |   21.97 |     1.22 | TRGB          |  0.247742 |   86 | -8.23184
 5807925 | AGC740666          | 111521.4+191432 |        168.83916 |    19.242222 |   29.18 |          | NAM           |   6.85488 |  676 |  568.022
   34554 | NGC3621            | 111816.1-324842 |        169.56708 |   -32.811666 |   29.11 |     0.05 | TRGB          |   6.63743 |  730 |  440.119
   34671 | PGC034671          | 111948.6+554322 |       169.952505 |    55.722778 |  29.978 |          | mem           |    9.8992 |  605 |  688.416
 2807140 | KKH67              | 112303.5+211937 |       170.764575 |    21.326943 |      30 |          | txt           |        10 |      |         
   35286 | UGC06456           | 112800.6+785929 |        172.00248 |    78.991388 |   28.33 |     0.04 | TRGB          |   4.63447 |  -94 |  98.6864
 3472517 | AGC213091          | 112934.6+104835 |        172.39416 |    10.809722 |    29.6 |          | mem           |   8.31764 |  743 |  600.006
   35433 | KDG078             | 112954.0+522414 |       172.474995 |    52.403888 |  29.978 |          | mem           |    9.8992 |  575 |  643.598
 2807141 | KKH68              | 113053.3+140846 |        172.72209 |    14.146111 | 29.6471 |          | TF            |       8.5 |  880 |  753.188
 4713563 | LeoV               | 113109.6+021312 |        172.78998 |     2.219999 |   21.25 |     0.12 | CMD           |  0.177828 |  173 | -6.93526
 5060432 | HIPASS J1131-31    | 113135.2-314020 |       172.896645 |   -31.672221 | 29.1304 |          | mem           |       6.7 |  715 |  431.582
 4713561 | LeoIV              | 113257.0-003160 |        173.23749 |    -0.533333 |   20.99 |     0.12 | HB            |  0.157761 |  132 | -58.4592
  683190 | HIPASS J1133-32    | 113311.0-325743 |       173.295825 |   -32.961944 |   28.74 |     0.06 | TRGB          |   5.59758 |  709 |  423.801
   35684 | UGC06541           | 113329.1+491417 |       173.371245 |    49.238055 |   28.13 |     0.12 | TRGB          |   4.22668 |  249 |  302.891
